,no2_ref
1591,5.2
3604,5.3
6247,1.9
1155,4.9
6351,6.0
1801,8.5
7602,3.5
456,9.4
1288,6.8
8147,2.7
7123,8.9
1711,2.9
5328,0.9
4832,6.6
3776,1.8
2541,2.2
734,3.1
7999,17.3
8132,13.4
3523,2.8
3973,0.9
6509,1.7
6826,9.5
905,13.5
6302,3.8
6751,2.5
6332,11.9
118,5.0
7312,18.8
8172,0.8
1626,5.6
6553,1.5
3708,2.5
8042,20.0
3864,2.8
2248,12.6
7820,24.4
1926,2.5
6121,9.3
7539,3.2
986,6.8
1454,3.0
7633,31.7
667,6.5
5740,0.9
1243,11.9
6654,5.3
3416,5.9
6487,10.3
779,1.4
7878,2.9
943,1.8
7472,10.7
418,4.6
6016,10.2
1556,3.6
2926,6.8
3132,2.1
7444,17.6
4038,4.9
3852,1.0
6996,16.7
3083,11.8
5713,3.1
1720,3.8
5924,0.4
2798,0.6
5353,2.6
1233,4.4
7448,15.2
3435,0.5
1313,16.3
4773,1.6
3902,1.9
5366,3.2
4537,1.0
1728,2.6
355,4.6
487,6.8
2453,3.1
2762,6.0
6241,0.9
7209,1.2
3080,3.2
4789,2.2
3238,1.0
6652,12.4
6288,15.0
5672,5.1
755,5.7
4999,2.5
1614,6.5
7249,19.6
7512,13.0
1404,3.7
4210,1.8
4776,2.0
1308,8.3
6712,2.2
1050,26.9
4222,4.6
4171,2.9
2658,1.2
6806,3.3
5395,1.1
4933,3.3
1822,3.3
1391,3.1
461,8.8
3404,4.5
4445,1.4
1931,6.0
336,2.0
5203,3.0
5751,1.1
6739,1.7
7962,6.3
2505,2.1
3788,2.3
4550,3.4
3679,5.3
1821,3.7
4979,2.8
2747,2.1
689,8.1
414,5.4
7417,8.5
297,5.7
728,6.9
4759,2.7
799,1.8
7344,2.7
992,7.9
6793,6.4
252,6.9
5155,7.0
1237,3.1
4359,1.7
6225,1.0
2416,2.2
5428,8.6
20,10.4
3374,1.9
6803,4.9
5143,0.8
3431,0.7
5855,4.5
567,21.2
3028,3.0
2589,1.7
7969,29.6
3252,4.5
5846,3.3
6310,8.9
4311,5.1
5367,3.6
2075,2.4
7235,4.6
2955,1.0
5881,4.0
2546,2.2
241,9.1
2379,1.9
421,4.3
973,11.0
6415,1.2
2631,4.3
7203,22.9
974,25.9
2970,1.0
6170,8.0
3981,2.5
3790,2.5
2910,1.1
906,8.3
7672,3.8
1302,12.4
7185,2.2
2383,1.9
1453,3.2
1605,2.1
8032,1.5
4667,4.1
4905,2.8
1784,17.0
4971,3.0
709,1.9
54,17.7
5621,1.4
4958,3.4
2940,6.2
2487,1.9
4770,2.0
867,7.2
7011,8.8
4302,3.4
5272,1.4
5126,5.4
7917,3.7
1370,15.1
7883,5.5
1348,9.6
2028,3.8
6436,2.4
3994,2.8
7024,1.0
6280,6.5
6758,8.9
5575,1.6
5279,1.4
6686,14.1
1287,5.8
5055,6.6
3683,8.8
2811,2.3
1022,19.1
6615,12.4
7929,5.3
1325,4.6
5392,1.0
6268,7.3
837,20.4
2934,1.3
1937,5.3
3151,5.5
1375,2.7
2848,2.8
6762,10.0
2783,10.3
3617,2.4
6913,2.5
2164,1.4
2138,8.5
3919,2.0
2235,2.7
6331,10.2
6969,4.6
3239,1.2
7593,8.0
1143,6.8
2653,1.6
1311,10.8
3591,4.0
8001,20.0
696,22.2
7722,2.8
6733,3.4
3448,1.0
7782,1.9
7232,1.9
5512,2.1
4522,2.2
7859,1.3
6013,10.4
1695,2.9
7603,3.3
4261,1.6
6093,2.1
5930,0.5
7504,5.6
198,5.1
5735,1.9
2850,2.7
4452,4.6
133,13.8
1061,3.0
8029,3.3
260,17.2
